"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 22:12:54 GMT 2023","Sat Apr 15 22:12:54 GMT 2023","90","","DummyAPI","TestGetPosts","","","test_get_posts_by_user[637c795e029551b0a109d55b-404]",""
"passed","Sat Apr 15 22:12:52 GMT 2023","Sat Apr 15 22:12:53 GMT 2023","417","","DummyAPI","TestPaging","","","test_paging_pages[1]",""
"passed","Sat Apr 15 22:12:51 GMT 2023","Sat Apr 15 22:12:51 GMT 2023","181","","DummyAPI","TestPaging","","","test_paging_limits[5]",""
"skipped","Sat Apr 15 22:12:57 GMT 2023","Sat Apr 15 22:12:57 GMT 2023","176","","DummyAPI","TestUser","","","test_edit_user[643b21620dfe53eee9d4825fbad-firstname_edit--200]",""
"skipped","Sat Apr 15 22:12:51 GMT 2023","Sat Apr 15 22:12:51 GMT 2023","375","","DummyAPI","TestPaging","","","test_paging_limits[4]",""
"passed","Sat Apr 15 22:12:53 GMT 2023","Sat Apr 15 22:12:53 GMT 2023","190","","DummyAPI","TestPaging","","","test_paging_pages[999]",""
"passed","Sat Apr 15 22:12:55 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","170","","DummyAPI","TestUser","","","test_create_user[firstname-lastname-test221250@mail.com-200]",""
"passed","Sat Apr 15 22:12:57 GMT 2023","Sat Apr 15 22:12:57 GMT 2023","174","","DummyAPI","TestUser","","","test_get_user[643b21620dfe53eee9d4825f-200]",""
"passed","Sat Apr 15 22:12:54 GMT 2023","Sat Apr 15 22:12:55 GMT 2023","395","","DummyAPI","TestGetPosts","","","test_get_post_by_id[638cfe32996f1266347911fb11111-400]",""
"skipped","Sat Apr 15 22:12:53 GMT 2023","Sat Apr 15 22:12:54 GMT 2023","177","","DummyAPI","TestPaging","","","test_paging_pages[1000]",""
"passed","Sat Apr 15 22:12:58 GMT 2023","Sat Apr 15 22:12:58 GMT 2023","164","","DummyAPI","TestUser","","","test_delete_user[643b21620dfe53eee9d4825fbad-400]",""
